baratheon	greyjoy	lannister	martell	stark	targaryen	tyrell	episode	season	time
3	1	5	0	27	2	0	1	1	1
10	3	5	0	17	4	0	10	1	10
4	1	3	0	29	8	0	2	1	2
4	1	14	0	28	9	0	3	1	3
3	2	2	0	20	9	0	4	1	4
14	1	7	0	19	3	4	5	1	5
4	2	14	0	17	4	0	6	1	6
18	7	17	0	26	7	1	7	1	7
7	2	30	0	32	4	0	8	1	8
3	3	11	0	15	10	0	9	1	9
11	6	19	0	26	4	0	1	2	11
1	5	9	0	14	3	5	10	2	20
6	5	14	0	11	1	0	2	2	12
4	8	17	0	21	0	5	3	2	13
4	1	22	0	11	3	1	4	2	14
20	5	7	0	18	5	2	5	2	15
4	8	8	0	21	2	2	6	2	16
3	4	10	0	18	6	0	7	2	17
11	4	12	0	16	2	0	8	2	18
18	6	11	0	5	0	0	9	2	19
5	2	10	0	11	1	6	1	3	21
3	7	11	0	19	6	1	10	3	30
9	3	6	0	20	0	11	2	3	22
2	1	8	0	17	7	0	3	3	23
5	6	12	0	18	1	4	4	3	24
11	4	13	0	17	5	7	5	3	25
1	1	14	0	11	2	6	6	3	26
1	1	8	0	16	4	2	7	3	27
5	4	7	0	3	2	1	8	3	28
0	1	2	0	19	1	0	9	3	29
4	1	15	9	15	4	3	1	4	31
2	1	15	0	20	0	4	10	4	40
7	8	17	3	18	1	3	2	4	32
4	3	17	4	8	2	0	3	4	33
1	1	16	1	22	2	0	4	4	34
1	2	21	2	10	0	2	5	4	35
4	10	31	5	16	0	0	6	4	36
3	0	7	1	14	4	0	7	4	37
3	9	9	4	14	3	0	8	4	38
0	0	0	0	8	3	0	9	4	39
4	2	11	0	8	0	0	1	5	41
8	4	4	0	5	1	0	10	5	50
5	2	8	3	21	1	0	2	5	42
5	3	14	0	13	1	3	3	5	43
5	3	6	4	9	2	5	4	5	44
3	3	1	0	15	4	0	5	5	45
6	4	16	2	10	0	14	6	5	46
3	6	10	0	10	3	7	7	5	47
6	4	3	0	16	0	1	8	5	48
3	1	4	2	6	2	0	9	5	49
1	1	3	4	9	0	1	1	6	51
4	1	5	0	20	1	5	10	6	60
0	2	3	0	25	1	2	2	6	52
2	0	5	0	19	2	1	3	6	53
5	3	3	0	17	1	7	4	6	54
2	11	4	0	13	1	0	5	6	55
0	1	5	0	9	0	8	6	6	56
3	4	4	0	16	0	2	7	6	57
0	0	11	0	11	0	2	8	6	58
3	3	3	0	10	0	0	9	6	59
